#F nifilm-tof-4.dat
#D 2011-01-19 22:06:12
#C Title: Simulated 100 A Ni film
#C Detector Angle: (3, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
1.139854858945818922e-01 1.003947747699744826e-03 8.426265663674991160e-05 3.081077661030880059e-06 5.769796193297433540e+00
1.162651956124735320e-01 1.024026702653739592e-03 5.285566643577995535e-05 2.464473283120440927e-06 5.656662934605327209e+00
1.185904995247230032e-01 1.044507236706814380e-03 2.976923056561270314e-05 1.867915456302134423e-06 5.545747975103261673e+00
1.209623095152174699e-01 1.065397381440950702e-03 2.056186539539797288e-05 1.567843657276208252e-06 5.437007818728687880e+00
1.233815557055218115e-01 1.086705329069769790e-03 7.323400015445356159e-06 7.677037303688184244e-07 5.330399822283027333e+00
1.258491868196322527e-01 1.108439435651165008e-03 3.573852015971336191e-06 5.158420280353718742e-07 5.225882178708850745e+00
1.283661705560248945e-01 1.130608224364188430e-03 2.582108081539231132e-06 4.428284548779364735e-07 5.123413900694950840e+00
1.309334939671454034e-01 1.153220388851472229e-03 5.344963728786299199e-06 6.434597381912088157e-07 5.022954804602893120e+00
1.335521638464883254e-01 1.176284796628501760e-03 1.145681355778968552e-05 9.514420299608435796e-07 4.924465494708718083e+00
1.362232071234180664e-01 1.199810492561071513e-03 1.781262908253494003e-05 1.157064900676195136e-06 4.827907347753646050e+00
1.389476712658864466e-01 1.223806702412293286e-03 2.423946972465483232e-05 1.162207703511393132e-06 4.733242497797691684e+00
1.417266246912042005e-01 1.248282836460539152e-03 3.182893127982269510e-05 1.345039239868233518e-06 4.640433821370285372e+00
1.445611571850282662e-01 1.273248493189749718e-03 3.687154339258349301e-05 1.462078751639516912e-06 4.549444922912044831e+00
1.474523803287288437e-01 1.298713463053545111e-03 3.695850457982976963e-05 1.478367501631931534e-06 4.460240120502004579e+00
1.504014279353034222e-01 1.324687732314615805e-03 4.348803750095813685e-05 1.619614366023711355e-06 4.372784431864710442e+00
1.534094564940094718e-01 1.351181486960908139e-03 4.117282953601503854e-05 1.513574473559348417e-06 4.287043560651676799e+00
1.564776456238896885e-01 1.378205116700126310e-03 4.089476021152451410e-05 1.203332243687510967e-06 4.202983882991839337e+00
1.596071985363674839e-01 1.405769219034129231e-03 3.611485317381456266e-05 1.142072556271534850e-06 4.120572434305724840e+00
1.627993425070948241e-01 1.433884603414811677e-03 3.241669220881575510e-05 1.092784183251355388e-06 4.039776896378161730e+00
1.660553293572367417e-01 1.462562295483107533e-03 2.581326465727911922e-05 9.848501850153074906e-07 3.960565584684472284e+00
1.693764359443814538e-01 1.491813541392770061e-03 2.019747057332429846e-05 8.798245220311981741e-07 3.882907435965169185e+00
1.727639646632690984e-01 1.521649812220625744e-03 1.363252893190352109e-05 6.675923644636802450e-07 3.806771996044282957e+00
1.762192439565344881e-01 1.552082808465037956e-03 8.390322089820380136e-06 5.096779079743971355e-07 3.732129407886552119e+00
1.797436288356651646e-01 1.583124464634338806e-03 4.389593601087565684e-06 3.723212870328244835e-07 3.658950399888776683e+00
1.833385014123784795e-01 1.614786953927025695e-03 2.222587033413970395e-06 2.675683334838229905e-07 3.587206274400761341e+00
1.870052714406260363e-01 1.647082693005566143e-03 7.228239569537645650e-07 1.541066412325696638e-07 3.516868896471334605e+00
1.907453768694385710e-01 1.680024346865677254e-03 4.691784593318075728e-07 1.253932472855527655e-07 3.447910682815034100e+00
1.945602844068273773e-01 1.713624833802991241e-03 9.153555779688456638e-07 1.671203759694559565e-07 3.380304590995130809e+00
1.984514900949639060e-01 1.747897330479051018e-03 2.064741320620346888e-06 2.075145248486027734e-07 3.314024108818755643e+00
2.024205198968631880e-01 1.782855277088631627e-03 3.956795185334286388e-06 2.901268733310224383e-07 3.249043243939956582e+00
2.064689302948004568e-01 1.818512382630404784e-03 4.578394945094890403e-06 3.151904280065630986e-07 3.185336513666624292e+00
2.105983089006964459e-01 1.854882630283012819e-03 5.378203654460739698e-06 3.450128530821672416e-07 3.122878934967278752e+00
2.148102750787104220e-01 1.891980282888672694e-03 6.050147123388352584e-06 3.695726741641449849e-07 3.061646014673802263e+00
2.191064805802846460e-01 1.929819888546446425e-03 5.769969793501706754e-06 3.171471372990037900e-07 3.001613739876276554e+00
2.234886101918903134e-01 1.968416286317374933e-03 5.318202419451116780e-06 3.035266511974080627e-07 2.942758568506153694e+00
2.279583823957281319e-01 2.007784612043723299e-03 4.081677049091436671e-06 2.685551813591632577e-07 2.885057420104072179e+00
2.325175500436426901e-01 2.047940304284597782e-03 3.009839257758582765e-06 2.329087049053478267e-07 2.828487666768698006e+00
2.371679010445155722e-01 2.088899110370289261e-03 1.783194587800200798e-06 1.810561400871013328e-07 2.773027124283037104e+00
2.419112590654058648e-01 2.130677092577695601e-03 8.041020201413100591e-07 1.226244578010301811e-07 2.718654043414742372e+00
2.467494842467139737e-01 2.173290634429248750e-03 3.605473607345187432e-07 7.210948516714160990e-08 2.665347101387002482e+00
2.516844739316482782e-01 2.216756447117834792e-03 1.029723262257774347e-07 3.891988306119008316e-08 2.613085393516668908e+00
2.567181634102812526e-01 2.261091576060191097e-03 1.050317727502929476e-07 3.969828076412636072e-08 2.561848425016342023e+00
2.618525266784868522e-01 2.306313407581395223e-03 3.826157435903552667e-07 7.652316338097355438e-08 2.511616102957197949e+00
