21420
         0.0217          0.1792          0.5247          0.8959          0.9695          0.0855          0.4614          0.5232          0.5979          0.4862          0.8395          0.1486          0.1408          0.8652 
         0.8177          0.1233          0.7936          0.5602          0.0774          0.8084          0.9613          0.9923           0.523          0.5667          0.2548          0.9429          0.9859          0.3887 
         0.5526          0.1081          0.9617          0.6325           0.054          0.7646          0.9952          0.9542          0.8521          0.8341          0.9162          0.9686          0.8289          0.5628 
         0.0385          0.2151          0.7502            0.69          0.0227           0.795           0.581          0.5178          0.1299          0.9833          0.7196          0.5666          0.2586          0.6164 
          0.246          0.4486          0.7617          0.5658          0.0678           0.071          0.4388          0.5405          0.5394          0.6754          0.0034          0.2195          0.8468          0.3862 
         0.0384          0.6623          0.2521          0.3856          0.1619          0.1305          0.0042          0.6359          0.9306          0.2098          0.6586          0.8493           0.214          0.6554 
         0.8188           0.038            0.77               0          0.5336          0.3775          0.9074          0.4935          0.5801          0.4097          0.6625          0.1765            0.12          0.0955 
         0.7187          0.1233          0.7086          0.5602          0.0044          0.5084          0.4616          0.5559          0.3101           0.584          0.0861          0.8987          0.0223          0.6564 
         0.6927          0.3159          0.2236           0.166          0.0822           0.232          0.2212          0.3958          0.2163          0.3568          0.5664          0.5444          0.2485           0.016 
         0.8147          0.4911          0.0087          0.5559          0.9665          0.2958          0.7003          0.2229          0.6361          0.0098          0.2586          0.5757           0.344          0.9554 
         0.4518           0.262            0.15          0.1823           0.741          0.4405          0.9051          0.3437          0.6247          0.7014          0.9485          0.5695           0.997          0.6562 
         0.8472          0.0183          0.7986          0.5602          0.0644          0.8074          0.9616          0.2185          0.3931          0.5867          0.2548          0.0909          0.3167          0.9994 
         0.3378          0.4566          0.9087          0.5942           0.735          0.4128          0.6301          0.2089          0.2359          0.3814          0.2543          0.9905          0.4149          0.5891 
         0.1614          0.3399          0.0103          0.3985          0.4542           0.274           0.022          0.9137          0.9336          0.4121           0.821          0.3813          0.0464           0.257 
          0.059          0.4176             0.4             0.7          0.1109          0.3337          0.0044          0.8359          0.9859          0.1408          0.6301          0.8967          0.4646           0.282 
         0.1615          0.3299          0.0103          0.3585          0.3545           0.234           0.021          0.9137          0.9336          0.0407          0.2331          0.1915          0.4647          0.4623 
         0.1526          0.1089          0.9607          0.6385           0.054          0.7646          0.9852          0.9347          0.2561          0.8393          0.8162          0.9626          0.8236           0.282 
         0.1111          0.5299          0.6403          0.8256          0.1286          0.1785          0.8644          0.7389          0.0889          0.3694          0.2209          0.4892          0.2295           0.747 
         0.1322          0.3289          0.2792          0.3658          0.0649          0.4692          0.7601          0.8327           0.682          0.1174            0.58          0.8333          0.4409          0.2974 
         0.0385          0.2161          0.2452            0.77          0.0277           0.714           0.567          0.5938          0.1869          0.1154           0.572          0.8363          0.4469          0.2973 
         0.1611          0.5299          0.2009          0.8959          0.1281          0.1759          0.8651          0.8327           0.682          0.2833          0.8196          0.5337          0.2368          0.3862 
         0.6837          0.2167          0.1826          0.7362          0.4456          0.5324          0.1156          0.3387          0.7925          0.7066          0.5309          0.6823          0.2269          0.4992 
         0.0369          0.3513          0.8551          0.1231          0.9012          0.7614          0.6091          0.3787          0.8247          0.3188          0.1728          0.7989          0.6163          0.8724 
         0.7177          0.1273          0.7086          0.5607          0.0644          0.5004          0.9616          0.4559          0.3895          0.4096          0.6125          0.1708            0.15          0.0925 
         0.0384          0.6629          0.8501          0.3556           0.961          0.1775          0.9074          0.4934          0.5137           0.583          0.9461          0.8915          0.9223          0.8484 
         0.0814          0.6629          0.3507          0.3886          0.1714          0.4947          0.1655          0.3387          0.8225          0.7826          0.8028          0.9977          0.4186          0.3424 
         0.0188          0.9239          0.7487          0.2102           0.175           0.957          0.8074          0.4135          0.5896          0.3093          0.8104          0.0616          0.8124          0.4764 
