# z rho mu P theta
26.6327 1.51907e-06 4.48837e-09 0 270
26.6327 1.78259e-06 4.34353e-09 0 270
27.567 1.78259e-06 4.34353e-09 0 270
27.567 2.0219e-06 4.21199e-09 0 270
28.5013 2.0219e-06 4.21199e-09 0 270
28.5013 2.22899e-06 4.09817e-09 0 270
29.4356 2.22899e-06 4.09817e-09 0 270
29.4356 2.39976e-06 4.00431e-09 0 270
30.3699 2.39976e-06 4.00431e-09 0 270
30.3699 2.53395e-06 3.93055e-09 0 270
31.3042 2.53395e-06 3.93055e-09 0 270
31.3042 2.63445e-06 3.87531e-09 0 270
32.2385 2.63445e-06 3.87531e-09 0 270
32.2385 2.70616e-06 3.8359e-09 0 270
33.1727 2.70616e-06 3.8359e-09 0 270
33.1727 2.75492e-06 3.8091e-09 0 270
34.107 2.75492e-06 3.8091e-09 0 270
34.107 2.78651e-06 3.79174e-09 0 270
35.0413 2.78651e-06 3.79174e-09 0 270
35.0413 2.80599e-06 3.78103e-09 0 270
35.9756 2.80599e-06 3.78103e-09 0 270
35.9756 2.8174e-06 3.77475e-09 0 270
36.9099 2.8174e-06 3.77475e-09 0 270
36.9099 2.82367e-06 3.77131e-09 0 270
37.8442 2.82367e-06 3.77131e-09 0 270
37.8442 2.82672e-06 3.76963e-09 0 270
38.7785 2.82672e-06 3.76963e-09 0 270
38.7785 2.82762e-06 3.76914e-09 0 270
39.7128 2.82762e-06 3.76914e-09 0 270
39.7128 2.82672e-06 3.76963e-09 0 270
40.6471 2.82672e-06 3.76963e-09 0 270
40.6471 2.82367e-06 3.77131e-09 0 270
41.5814 2.82367e-06 3.77131e-09 0 270
41.5814 2.8174e-06 3.77475e-09 0 270
42.5157 2.8174e-06 3.77475e-09 0 270
42.5157 2.80599e-06 3.78103e-09 0 270
43.45 2.80599e-06 3.78103e-09 0 270
43.45 2.78651e-06 3.79174e-09 0 270
44.3843 2.78651e-06 3.79174e-09 0 270
44.3843 2.75492e-06 3.8091e-09 0 270
45.3186 2.75492e-06 3.8091e-09 0 270
45.3186 2.70616e-06 3.8359e-09 0 270
46.2529 2.70616e-06 3.8359e-09 0 270
46.2529 2.63445e-06 3.87531e-09 0 270
47.1872 2.63445e-06 3.87531e-09 0 270
47.1872 2.53395e-06 3.93055e-09 0 270
48.1215 2.53395e-06 3.93055e-09 0 270
48.1215 2.39976e-06 4.00431e-09 0 270
49.0558 2.39976e-06 4.00431e-09 0 270
49.0558 2.22899e-06 4.09817e-09 0 270
49.9901 2.22899e-06 4.09817e-09 0 270
49.9901 2.0219e-06 4.21199e-09 0 270
50.9244 2.0219e-06 4.21199e-09 0 270
50.9244 1.78259e-06 4.34353e-09 0 270
51.8587 1.78259e-06 4.34353e-09 0 270
51.8587 1.51907e-06 4.48837e-09 0 270
52.793 1.51907e-06 4.48837e-09 0 270
52.793 1.31218e-06 4.60208e-09 0 270
53.2602 1.31218e-06 4.60208e-09 0 270
53.2602 1.2036e-06 4.66176e-09 0 270
53.5235 1.2036e-06 4.66176e-09 0 270
53.5235 1.0863e-06 4.72623e-09 0 270
54.0501 1.0863e-06 4.72623e-09 0 270
54.0501 9.32264e-07 4.8109e-09 0 270
54.5768 9.32264e-07 4.8109e-09 0 270
54.5768 7.83059e-07 4.89291e-09 0 270
55.1034 7.83059e-07 4.89291e-09 0 270
55.1034 6.40836e-07 4.97108e-09 0 270
55.63 6.40836e-07 4.97108e-09 0 270
55.63 5.0748e-07 5.04438e-09 0 270
56.1567 5.0748e-07 5.04438e-09 0 270
56.1567 3.84559e-07 5.11194e-09 0 270
56.6833 3.84559e-07 5.11194e-09 0 270
56.6833 2.73292e-07 5.1731e-09 0 270
57.2099 2.73292e-07 5.1731e-09 0 270
57.2099 1.74556e-07 5.22737e-09 0 270
57.7366 1.74556e-07 5.22737e-09 0 270
57.7366 8.89002e-08 5.27445e-09 0 270
58.2632 8.89002e-08 5.27445e-09 0 270
58.2632 1.66023e-08 5.31418e-09 0 270
58.7899 1.66023e-08 5.31418e-09 0 270
58.7899 -4.22758e-08 5.34655e-09 0 270
59.3165 -4.22758e-08 5.34655e-09 0 270
59.3165 -8.78155e-08 5.37158e-09 0 270
59.8431 -8.78155e-08 5.37158e-09 0 270
59.8431 -1.20171e-07 5.38936e-09 0 270
60.3698 -1.20171e-07 5.38936e-09 0 270
60.3698 -1.39503e-07 5.39999e-09 0 270
60.8964 -1.39503e-07 5.39999e-09 0 270
60.8964 -1.45933e-07 5.40352e-09 0 270
61.423 -1.45933e-07 5.40352e-09 0 270
61.423 -1.39503e-07 5.39999e-09 0 270
61.9497 -1.39503e-07 5.39999e-09 0 270
61.9497 -1.20171e-07 5.38936e-09 0 270
62.4763 -1.20171e-07 5.38936e-09 0 270
62.4763 -8.78155e-08 5.37158e-09 0 270
63.003 -8.78155e-08 5.37158e-09 0 270
63.003 -4.22758e-08 5.34655e-09 0 270
63.5296 -4.22758e-08 5.34655e-09 0 270
63.5296 1.66023e-08 5.31418e-09 0 270
64.0562 1.66023e-08 5.31418e-09 0 270
64.0562 8.89002e-08 5.27445e-09 0 270
64.5829 8.89002e-08 5.27445e-09 0 270
64.5829 1.74556e-07 5.22737e-09 0 270
65.1095 1.74556e-07 5.22737e-09 0 270
65.1095 2.73292e-07 5.1731e-09 0 270
65.6361 2.73292e-07 5.1731e-09 0 270
65.6361 3.84559e-07 5.11194e-09 0 270
