# Q dQ R dR fit
0.17441 0.00200082 6.85412e-06 1.77249e-06 6.27931e-06
0.175331 0.00201138 6.43569e-06 1.70465e-06 6.07213e-06
0.176252 0.00202193 5.96874e-06 1.6217e-06 6.5775e-06
0.177174 0.00203249 7.44788e-06 2.02349e-06 7.60833e-06
0.178095 0.00204304 3.2948e-06 1.15282e-06 8.80557e-06
0.179017 0.00205359 3.99147e-06 1.2762e-06 9.60406e-06
0.179938 0.00206415 7.16326e-06 1.77368e-06 9.5284e-06
0.180859 0.0020747 4.60259e-06 1.36711e-06 8.53583e-06
0.181781 0.00208525 5.22871e-06 1.46002e-06 7.04747e-06
0.182702 0.0020958 5.85188e-06 1.54972e-06 5.63322e-06
0.183623 0.00210635 3.39833e-06 1.13382e-06 4.66423e-06
0.184544 0.0021169 4.55346e-06 9.09485e-07 4.21751e-06
0.186387 0.002138 4.38206e-06 1.06377e-06 4.54059e-06
0.188229 0.0021591 3.24487e-06 8.81529e-07 5.63113e-06
0.190071 0.00218019 2.99582e-06 8.36511e-07 5.82749e-06
0.191913 0.00220129 4.87818e-06 1.1049e-06 4.61291e-06
0.193755 0.00222238 2.66885e-06 7.67723e-07 3.47731e-06
0.195597 0.00224347 3.18526e-06 8.43546e-07 3.26076e-06
0.197439 0.00226455 3.69476e-06 9.14817e-07 3.76568e-06
0.199281 0.00228564 3.45137e-06 8.72699e-07 4.19178e-06
0.201123 0.00230672 2.51052e-06 7.22127e-07 3.76396e-06
0.202964 0.0023278 2.48441e-06 7.1467e-07 2.97802e-06
0.204806 0.00234887 2.08417e-06 6.41177e-07 2.61507e-06
0.206647 0.00236995 3.40914e-06 8.44094e-07 2.78028e-06
0.208488 0.00239102 1.50249e-06 5.2569e-07 3.13739e-06
0.210329 0.00241209 2.30081e-06 6.61801e-07 3.1021e-06
0.21217 0.00243316 3.23011e-06 7.99862e-07 2.63794e-06
0.214011 0.00245422 3.01836e-06 7.63237e-07 2.26549e-06
0.215852 0.00247529 3.10519e-06 7.68835e-07 2.24059e-06
0.217693 0.00249635 2.45283e-06 6.66356e-07 2.46227e-06
0.219534 0.00251741 3.48013e-06 8.14571e-07 2.5831e-06
0.221374 0.00253846 3.42274e-06 8.01216e-07 2.37395e-06
0.223214 0.00255952 2.19656e-06 6.13369e-07 2.06748e-06
0.225055 0.00258057 1.58878e-06 5.07944e-07 1.94427e-06
0.226895 0.00260161 2.12412e-06 5.93119e-07 2.04127e-06
0.228735 0.00262266 2.9179e-06 7.0831e-07 2.18945e-06
0.230575 0.0026437 1.50575e-06 4.8143e-07 2.15432e-06
0.232415 0.00266474 1.35069e-06 4.50629e-07 1.95329e-06
0.234255 0.00268578 2.25622e-06 5.97479e-07 1.79637e-06
0.236094 0.00270682 2.22453e-06 5.89085e-07 1.79818e-06
0.237934 0.00272785 1.93822e-06 5.41221e-07 1.91354e-06
0.239773 0.00274888 2.15905e-06 5.71801e-07 1.97635e-06
0.241612 0.00276991 1.87617e-06 5.239e-07 1.89095e-06
0.243452 0.00279093 2.58248e-06 6.26868e-07 1.75237e-06
0.245291 0.00281195 2.79111e-06 6.53267e-07 1.69326e-06
0.24713 0.00283297 1.66816e-06 4.79824e-07 1.75531e-06
0.248968 0.00285399 1.77004e-06 4.94291e-07 1.85921e-06
0.250807 0.002875 3.48381e-06 7.3607e-07 1.88021e-06
0.252646 0.00289601 2.28351e-06 5.65383e-07 1.80293e-06
0.254484 0.00291702 2.23605e-06 5.5363e-07 1.723e-06
0.256322 0.00293803 1.98884e-06 5.14263e-07 1.73641e-06
0.258161 0.00295903 1.94838e-06 5.03839e-07 1.85273e-06
0.259999 0.00298003 2.67912e-06 6.06846e-07 1.97391e-06
0.261837 0.00300103 3.59387e-06 7.25161e-07 2.0031e-06
0.263674 0.00302202 3.63481e-06 7.25809e-07 1.95976e-06
0.265512 0.00304301 3.61274e-06 7.21434e-07 1.96386e-06
0.26735 0.003064 2.23911e-06 5.33496e-07 2.12591e-06
0.269187 0.00308498 2.71959e-06 5.97958e-07 2.42149e-06
0.271024 0.00310596 3.97273e-06 7.56928e-07 2.70563e-06
0.272862 0.00312694 5.28392e-06 9.12454e-07 2.9223e-06
0.274699 0.00314792 6.79322e-06 1.08672e-06 3.33211e-06
0.276535 0.00316889 8.31049e-06 1.25509e-06 4.54001e-06
0.278372 0.00318986 5.75189e-06 9.57296e-07 7.1852e-06
0.280209 0.00321083 6.96052e-06 1.09249e-06 1.13872e-05
0.282045 0.00323179 1.46095e-05 1.93764e-06 1.63094e-05
0.283882 0.00325275 2.6552e-05 3.21989e-06 2.02789e-05
0.285718 0.00327371 3.19363e-05 3.79412e-06 2.16623e-05
0.287554 0.00329466 4.12712e-05 4.78661e-06 1.99369e-05
0.28939 0.00331561 6.0995e-05 6.88244e-06 1.59439e-05
0.291226 0.00333656 7.70202e-05 8.58647e-06 1.11731e-05
0.293061 0.0033575 8.70473e-05 9.65039e-06 6.90521e-06
0.294897 0.00337844 7.71914e-05 8.60055e-06 3.81767e-06
0.296732 0.00339938 5.44365e-05 6.17265e-06 1.98747e-06
0.298567 0.00342031 2.81316e-05 3.36372e-06 1.09439e-06
0.299485 0.00343078 1.79899e-05 2.2745e-06 8.64656e-07
0.300402 0.00344124 1.22128e-05 1.64585e-06 7.12209e-07
0.303155 0.00347263 4.44237e-06 7.71746e-07 4.83624e-07
0.306824 0.00351447 3.44203e-06 6.50373e-07 4.22989e-07
0.310493 0.0035563 2.77851e-06 5.6681e-07 4.93312e-07
0.314161 0.00359811 1.16956e-06 3.36419e-07 4.70725e-07
0.317828 0.00363991 2.0062e-06 4.6177e-07 3.97701e-07
0.321495 0.0036817 1.17016e-06 3.36593e-07 4.07439e-07
0.325161 0.00372347 5.87661e-07 2.30742e-07 4.82732e-07
0.328827 0.00376522 6.70079e-07 2.47396e-07 4.66734e-07
0.332492 0.00380697 8.39325e-07 2.80028e-07 3.93141e-07
0.336156 0.00384869 6.72423e-07 2.48262e-07 4.30773e-07
